frame,tc_in,tc_out,duration_s,plate,year,era_en,era_pl,catastrophe
54,00:07:00.000,00:07:08.000,8,D,"1915","Under Occupation","Okupacja niemiecka",
55,00:07:08.000,00:07:16.000,8,D,"1918","Independence","Niepodległość",
56,00:07:16.000,00:07:24.000,8,D,"1920","Battle of Warsaw","Bitwa Warszawska",
57,00:07:24.000,00:07:32.000,8,D,"1926","Recovery","Odbudowa",
58,00:07:32.000,00:07:40.000,8,D,"1933","The Skyscraper","Prudential",
59,00:07:40.000,00:07:48.000,8,D,"1938","The Last Summer","Ostatnie lato",
60,00:07:48.000,00:07:56.000,8,D,"1939","The Bombing","Oblężenie Warszawy",yes
61,00:07:56.000,00:08:04.000,8,D,"1940","Occupied City","Miasto okupowane",
62,00:08:04.000,00:08:12.000,8,D,"1943","Razed","Zrównane z ziemią",
63,00:08:12.000,00:08:20.000,8,D,"1944","Warsaw Uprising","Powstanie Warszawskie",
64,00:08:20.000,00:08:28.000,8,D,"1945","85% Destroyed","85% zniszczone",yes
65,00:08:28.000,00:08:36.000,8,D,"1947","Clearing the Rubble","Odgruzowywanie",
66,00:08:36.000,00:08:44.000,8,D,"1953","Rebuilt from Paintings","Odbudowa wg Canaletta",
67,00:08:44.000,00:08:52.000,8,D,"1955","The Palace","Pałac Kultury",
68,00:08:52.000,00:09:00.000,8,D,"1965","Concrete","Wielka płyta",
69,00:09:00.000,00:09:08.000,8,D,"1980","Solidarity","Solidarność",
70,00:09:08.000,00:09:16.000,8,D,"1989","Transformation","Transformacja",
71,00:09:16.000,00:09:24.000,8,D,"2000","Glass","Szkło",
72,00:09:24.000,00:09:32.000,8,D,"2015","Skyline","Panorama",
73,00:09:32.000,00:09:40.000,8,D,"2026","Present Day","Dzisiaj",
74,00:09:40.000,00:09:48.000,8,D,"2050","Green Future","Zielona przyszłość",
75,00:09:48.000,00:09:56.000,8,D,"2075","The Last Frame","Ostatni kadr",
